"path","extension","size_bytes","modified_at","is_changed","category"
"AGENTS.md",".md","1485","2026-07-13T21:59:55","False","other"
"COURSE_REVIEW_DEBUG_REPORT.md",".md","8384","2026-07-14T16:48:00","False","other"
"COURSE_REVIEW_MAPPING_REPORT.md",".md","4102","2026-07-14T16:48:00","False","other"
"DESIGN_SYSTEM_CURRENT_STATE.md",".md","19027","2026-07-13T23:13:12","False","other"
"index.html",".html","1313","2026-07-13T21:34:07","False","other"
"MOCK_DATA_INTEGRITY_REPORT.md",".md","2563","2026-07-14T16:48:00","False","mock"
"package-lock.json",".json","36818","2026-07-11T10:04:33","False","other"
"package.json",".json","537","2026-07-14T20:52:43","False","other"
".agents/skills/mindhub-admin-ui/SKILL.md",".md","1192","2026-07-13T21:59:55","False","other"
".agents/skills/mindhub-admin-ui/references/knowledge-map.md",".md","433","2026-07-13T21:59:55","False","other"
".agents/skills/mindhub-admin-ui/references/page-patterns.md",".md","369","2026-07-11T10:37:25","False","other"
".agents/skills/mindhub-admin-ui/references/status-ui-map.md",".md","433","2026-07-13T21:59:55","False","other"
".agents/skills/mindhub-admin-ui/templates/dashboard-page.md",".md","159","2026-07-11T10:37:25","False","other"
".agents/skills/mindhub-admin-ui/templates/detail-drawer.md",".md","246","2026-07-11T10:37:25","False","other"
".agents/skills/mindhub-admin-ui/templates/management-page.md",".md","215","2026-07-11T10:37:25","False","other"
".antigravity/rules/00-project-guardrails.md",".md","566","2026-07-11T10:37:25","False","other"
".antigravity/rules/10-frontend-admin-rules.md",".md","525","2026-07-11T10:37:25","False","other"
".antigravity/rules/20-design-system-rules.md",".md","723","2026-07-13T21:59:55","False","other"
".antigravity/rules/30-static-html-rules.md",".md","543","2026-07-11T10:37:25","False","other"
".antigravity/rules/40-terminal-safety.md",".md","385","2026-07-11T10:37:25","False","other"
".antigravity/rules/50-output-report.md",".md","314","2026-07-11T10:37:25","False","other"
".antigravity/workflows/build-admin-page.md",".md","409","2026-07-11T11:27:52","False","other"
".antigravity/workflows/build-reusable-component.md",".md","386","2026-07-11T10:37:25","False","other"
".antigravity/workflows/fix-frontend-error.md",".md","320","2026-07-11T10:37:25","False","other"
".antigravity/workflows/review-admin-page.md",".md","348","2026-07-11T10:37:25","False","other"
".antigravity/workflows/update-knowledge.md",".md","316","2026-07-11T10:37:25","False","other"
".design-backup/colors-only-20260713-222236/assets/css/input.css",".css","3843","2026-07-13T23:13:12","False","style"
".design-backup/colors-only-20260713-222236/assets/js/pages/dashboard.js",".js","57661","2026-07-13T23:13:12","False","page"
".design-backup/colors-only-20260713-222236/knowledge/design/DESIGN.md",".md","18626","2026-07-13T23:13:12","False","other"
".design-backup/colors-only-20260713-222236/knowledge/design/theme.css",".css","1570","2026-07-13T23:13:12","False","style"
".design-backup/colors-only-20260713-222236/knowledge/design/tokens.json",".json","10098","2026-07-13T23:13:12","False","other"
".design-backup/colors-only-20260713-222236/knowledge/design/variables.css",".css","2180","2026-07-13T23:13:12","False","style"
".design-backup/colors-only-20260713-222236/_setup-input/DESIGN.md",".md","17728","2026-07-13T23:13:12","False","other"
".design-backup/colors-only-20260713-222236/_setup-input/theme.css",".css","1570","2026-07-13T23:13:12","False","style"
".design-backup/colors-only-20260713-222236/_setup-input/tokens.json",".json","10098","2026-07-13T23:13:12","False","other"
".design-backup/colors-only-20260713-222236/_setup-input/variables.css",".css","2180","2026-07-13T23:13:12","False","style"
".design-backup/refine-seline-admin-20260713-222851/assets/css/input.css",".css","3843","2026-07-13T23:13:12","False","style"
